NOVfilename,NOVtrial,NOVround,NOVdate,NOVsex,NOVcolor,NOVtime,NOVpart,fishID,NOVvid_length,NOVfamiliar_object,NOVnovel_object,NOVfamiliar_side,NOVnovel_side,NOVprop_left_alley,NOVprop_right_alley,NOVprop_upper_left_corner,NOVprop_upper_right_corner,NOVprop_left_interaction,NOVprop_right_interaction,NOVprop_lower_left_corner,NOVprop_lower_right_corner,NOVprop_sum_alley,NOVprop_sum_left,NOVprop_sum_right,NOVprop_sum_corner,NOVprop_familiar_alley,NOVprop_novel_alley,NOVprop_familiar_interaction,NOVprop_novel_interaction,NOVprop_sum_familiar,NOVprop_sum_novel,NOVprop_sum_interaction,NOVprop_familiar_interaction_and_corner,NOVprop_familiar_interaction_and_corner_of_interaction_and_corner_time,NOVlatency_to_enter_a_interaction,NOVlatency_to_enter_a_corner,NOVtime_of_first_right_interaction_entry,NOVtime_of_first_left_interaction_entry,NOVfirst_choice_left_or_right,NOVfirst_choice_familiar_or_novel,NOVprop_familiar_interaction_and_corner_following_first_familiar_entry,NOVdid_fish_enter_both_interaction_zones
NOV1_round3_0605_audrey_male_black_11am_tank2_2019-10-07T180648_327.csv,NOV1,round3,0605,male,black,11am,combined_originally,round3maleblack,699.137,ball,tube,L,R,0.03930846171780352,0.0453244500005006,0.024637517396447327,0.6406526903882929,0.005654113571445944,0.10020496698072083,0,0.14385735556836493,0.08463291171830412,0.0696000926856968,0.9300394629378792,0.8091475633531051,0.03930846171780352,0.0453244500005006,0.005654113571445944,0.10020496698072083,0.0696000926856968,0.9300394629378792,0.10585908055216678,0.030291630967893272,0.033105367233846314,13.753000000000014,17.50400000000002,208.081,182.347,L,familiar,0.030899466576400962,1
NOV1_round3_0605_audrey_male_green_11am_tank2_part1_2019-10-07T185241_672.csv,NOV1,round3,0605,male,green,11am,combined_now,round3malegreen,684.539,ball,tube,L,R,0.013482066032760752,0.006354641590910078,0.024916038384956898,0.2684142174514527,0.002232159161128864,0.2543682682798204,0,0.4293897060649576,0.019836707623670832,0.04063026357884651,0.9585268333871407,0.7227199619013672,0.013482066032760752,0.006354641590910078,0.002232159161128864,0.2543682682798204,0.04063026357884651,0.9585268333871407,0.25660042744094924,0.027148197546085766,0.02772146668397021,2.852000000000004,3.6299999999999955,155.198,125.31,L,familiar,0.027261778499516644,1
NOV1_round3_0605_audrey_male_orange_11am_tank3_part1_2019-10-07T192812_849.csv,NOV1,round3,0605,male,orange,11am,combined_now,round3maleorange,691.34,ball,tube,L,R,0.03892006827320861,0.034171319466543226,0.47777649202997075,0.28588827494431107,0.04782596117684486,0.0051479735007377144,0.11001388607631554,0,0.07309138773975182,0.6745364075563398,0.325207567911592,0.8736786530505973,0.03892006827320861,0.034171319466543226,0.04782596117684486,0.0051479735007377144,0.6745364075563398,0.325207567911592,0.052973934677582574,0.6356163392831312,0.6859273342574207,10.00200000000001,10.954000000000008,2e3,185.958,L,familiar,0.6449471481115099,0
NOV1_round3_0605_audrey_male_pink_11am_tank3_2019-10-08T145648_224.csv,NOV1,round3,0605,male,pink,11am,combined_originally,round3malepink,677.953,ball,tube,L,R,0.01660882096546531,0.02074775095028691,0.4967099489197629,0.18098304749739277,0.09400799170443962,0.018321329059684276,0.1595848089764335,0.012643944344224457,0.03735657191575222,0.7669115705661014,0.23269607185158842,0.8499217497378136,0.01660882096546531,0.02074775095028691,0.09400799170443962,0.018321329059684276,0.7669115705661014,0.23269607185158842,0.11232932076412389,0.750302749600636,0.7797369861165826,1.6159999999999854,1.8419999999999845,239.049,130.452,L,familiar,0.7520954790289456,1
NOV1_round3_0605_audrey_male_purple_11am_tank1_2019-10-09T150443_565.csv,NOV1,round3,0605,male,purple,11am,combined_originally,round3malepurple,699.4480000000001,ball,tube,L,R,0.07518929212750594,0.05163357390399303,0.48181994944584866,0.23936304056913427,0.01835876291018077,0.04395752078782146,0.014923196577872819,0.07436578559092318,0.12682286603149898,0.5902912010614082,0.4093199208518719,0.8104719721837789,0.07518929212750594,0.05163357390399303,0.01835876291018077,0.04395752078782146,0.5902912010614082,0.4093199208518719,0.06231628369800223,0.5151019089339022,0.5901796976100382,9.020999999999987,9.248999999999995,357.662,170.475,L,familiar,0.5218321415587747,1
NOV1_round3_0605_audrey_male_white_11am_tank1_2019-10-09T152656_415.csv,NOV1,round3,0605,male,white,11am,combined_originally,round3malewhite,269.49699999999996,ball,tube,L,R,0.2833871991153891,0.3020070724349435,0.23249980519263674,0,0.09565598132817806,9.424965769564008e-4,0.044820536035651636,0.03900971068323573,0.5853942715503326,0.6563635216718556,0.3419592796951356,0.3163300519115241,0.2833871991153891,0.3020070724349435,0.09565598132817806,9.424965769564008e-4,0.6563635216718556,0.3419592796951356,0.09659847790513446,0.3729763225564664,0.9032466773900776,27.614000000000004,28.63900000000001,375.082,143.966,L,familiar,0.4155562813426327,1
NOV1_round3_0605_audrey_male_yellow_11am_tank4_2019-10-09T181934_344.csv,NOV1,round3,0605,male,yellow,11am,combined_originally,round3maleyellow,686.61,ball,tube,L,R,0.05069835860240886,0.020027380900365613,0,0.7715821208546337,0,0.0553866095745767,0,0.10219484132185658,0.07072573950277447,0.05069835860240886,0.9491909526514326,0.8737769621764904,0.05069835860240886,0.020027380900365613,0,0.0553866095745767,0.05069835860240886,0.9491909526514326,0.0553866095745767,0,0,4.852000000000004,7.856999999999999,184.711,2e3,R,novel,NA,0
NOV1_round4_0605_cooper_female_black_1pm_tank2_2019-10-21T151800_371.csv,NOV1,round4,0605,female,black,1pm,combined_originally,round4femaleblack,861.5369999999999,ball,tube,L,R,0.008359478466972398,0,0.6443902003048042,0,0.1808778961321451,0,0.16576769192733454,0,0.008359478466972398,0.9993952668312562,0,0.8101578922321387,0.008359478466972398,0,0.1808778961321451,0,0.9993952668312562,0,0.1808778961321451,0.9910357883642839,1,7.722999999999999,12.049,2e3,47.428,L,familiar,1,0
NOV1_round4_0605_cooper_female_blue_1pm_tank1_part1_2019-10-21T180713_152.csv,NOV1,round4,0605,female,blue,1pm,combined_now,round4femaleblue,860.3230000000001,ball,tube,L,R,0.02927970076355046,0.03301783167484764,0.5896610924036668,0.13677653625440683,0.047026523759099784,0.027602423740850802,0.1262909395657213,0.009734715914836637,0.062297532438398105,0.7922582564920384,0.20713150758494192,0.8624632841386316,0.02927970076355046,0.03301783167484764,0.047026523759099784,0.027602423740850802,0.7922582564920384,0.20713150758494192,0.07462894749995058,0.762978555728488,0.8141979305434618,28.36500000000001,38.43799999999999,200.813,157.323,L,familiar,0.78899175198748,1
NOV1_round4_0605_cooper_female_green_1pm_tank2_2019-10-21T183428_683.csv,NOV1,round4,0605,female,green,1pm,combined_originally,round4femalegreen,98.91899999999998,ball,tube,L,R,0.0025273203327975417,0.042994773501551786,0,0.9445505918984219,0,0.006348628675987426,0,0,0.045522093834349325,0.0025273203327975417,0.9938939940759611,0.9445505918984219,0.0025273203327975417,0.042994773501551786,0,0.006348628675987426,0.0025273203327975417,0.9938939940759611,0.006348628675987426,0,0,4.856999999999999,5.10799999999999,107.037,2e3,R,novel,NA,0
