SPAfilename,SPAtrial,SPAround,SPAdate,SPAtank,SPAsex,SPAcolor,SPAtime,SPApart,fishID,SPAreward_side,SPAvid_length,SPAprop_right_platform,SPAprop_left_platform,SPAprop_right_corner,SPAprop_left_corner,SPAprop_right_wall,SPAprop_left_wall,SPAprop_neutral_zone,SPAprop_sum_platform,SPAprop_sum_corner,SPAprop_sum_corner_and_platform,SPAprop_sum_wall,SPAnumber_of_entries_total,SPAprop_correct_of_platform_time,SPAprop_correct_including_corners_of_total,SPAprop_correct_including_corners_of_corner_and_platform_time,SPAlatency_to_enter_a_wall,SPAlatency_to_enter_a_corner,SPAlatency_to_enter_a_platform,SPAlatency_to_enter_correct_platform,SPAlatency_to_enter_correct_corner,SPAfirst_choice_correct_or_incorrect_corner,SPAprop_correct_including_corners_following_first_correct_corner_entry
SPA4_round2_0508_cooper_male_orange_7pm_tank2_2019-09-25T153327_794.csv,SPA4,round2,0508,tank2,male,orange,7pm,combined_originally,round2maleorange,L,672.595,0,0.9732379812517191,0,0.001635456701283825,0,0.00672767415755396,0.008177283506419167,0.9732379812517191,0.001635456701283825,0.974873437953003,0.00672767415755396,7,1,0.974873437953003,1,8.525000000000006,16.900000000000006,18,18,16.900000000000006,correct,1.0000000000000002
SPA4_round2_0508_cooper_male_pink_7pm_tank4_2019-09-25T180804_760.csv,SPA4,round2,0508,tank4,male,pink,7pm,combined_originally,round2malepink,L,651.5509999999999,0,0,0,0,0,0,0.9874913859390898,0,0,0,0,4,NaN,0,NaN,NA,NA,NA,NA,NA,correct,NA
SPA4_round2_0508_cooper_male_purple_7pm_tank1_2019-09-25T182824_416.csv,SPA4,round2,0508,tank1,male,purple,7pm,combined_originally,round2malepurple,L,682.359,0,0,0,6.594769029205867e-4,0,0.014361941441382003,0.1570991223095174,0,6.594769029205867e-4,6.594769029205867e-4,0.014361941441382003,12,NaN,6.594769029205867e-4,1,39.150000000000006,51.525000000000006,NA,NA,51.525000000000006,correct,7.133413861649635e-4
SPA4_round2_0508_cooper_male_white_7pm_tank3_2019-09-25T185344_858.csv,SPA4,round2,0508,tank3,male,white,7pm,combined_originally,round2malewhite,L,662.615,0,0,0,0,0,0,0.9995849777019838,0,0,0,0,2,NaN,0,NaN,NA,NA,NA,NA,NA,correct,NA
SPA4_round2_0508_cooper_male_yellow_7pm_tank3_2019-09-25T184958_256.csv,SPA4,round2,0508,tank3,male,yellow,7pm,combined_originally,round2maleyellow,L,667.905,0,0,0.9749215831592817,0,0,0,0.016020242399742462,0,0.9749215831592817,0.9749215831592817,0,5,NaN,0,0,NA,16.75,NA,NA,NA,incorrect,NA
SPA4_round2_0515_cooper_female_green_6pm_tank4_2019-09-25T192224_075.csv,SPA4,round2,0515,tank4,female,green,6pm,combined_originally,round2femalegreen,R,680.2,0.007644810349897197,0.004851514260511547,0.7740591002646278,0.20807850632167021,0,0,8.820935019111942e-4,0.012496324610408744,0.982137606586298,0.9946339311967067,0,11,0.6117647058823596,0.7817039106145249,0.7859212179439804,NA,3.6500000000000057,4.474999999999994,4.474999999999994,3.6500000000000057,correct,0.7859212179439805
SPA4_round3_0605_audrey_female_black_4pm_tank1_2019-09-30T183645_645.csv,SPA4,round3,0605,tank1,female,black,4pm,combined_originally,round3femaleblack,R,685.9649999999999,0,0.7258387818620484,0,0.07022953066118541,0,0.03925127375303403,0.16147325300853543,0.7258387818620484,0.07022953066118541,0.7960683125232338,0.03925127375303403,12,0,0,0,7.475000000000023,59.75,66.07500000000002,NA,NA,incorrect,NA
SPA4_round3_0605_audrey_female_blue_4pm_tank1_part1_2019-09-30T185757_557.csv,SPA4,round3,0605,tank1,female,blue,4pm,combined_now,round3femaleblue,R,690.7,0.08759229766903154,0,0.9040466193716519,0,0,0,0.007962936151730129,0.08759229766903154,0.9040466193716519,0.9916389170406834,0,7,1,0.9916389170406834,1,NA,80.01499999999999,634.05,634.05,80.01499999999999,correct,1
SPA4_round3_0605_audrey_female_orange_4pm_tank1_2019-09-30T184125_304.csv,SPA4,round3,0605,tank1,female,orange,4pm,combined_originally,round3femaleorange,R,686.3420000000001,0,0,0,0,0,0,0.008814847408434835,0,0,0,0,3,NaN,0,NaN,NA,NA,NA,NA,NA,correct,NA
SPA4_round3_0605_audrey_female_purple_4pm_tank1_part1_2019-09-30T185325_833.csv,SPA4,round3,0605,tank1,female,purple,4pm,combined_now,round3femalepurple,R,690.6850000000001,0,0.9694144219144762,0,0.004777865452413159,0,0,0.017699819744167053,0.9694144219144762,0.004777865452413159,0.9741922873668893,0,7,0,0,0,NA,NA,80,NA,NA,incorrect,NA
